0,Cluster
20171223-23:14:24:494|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-23:14:24:392|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:15:32:840|Step_LSC|30002312|onStandStepChanged 3586,0
20171223-22:15:32:340|Step_LSC|30002312|onStandStepChanged 3585,0
20171223-22:15:31:841|Step_LSC|30002312|onStandStepChanged 3584,0
20171223-22:15:29:636|Step_LSC|30002312|onStandStepChanged 3579,0
20171223-22:15:29:738|Step_LSC|30002312|onStandStepChanged 3579,0
20171224-0:7:2:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:15:57:851|Step_LSC|30002312|onStandStepChanged 3625,0
20171223-23:17:40:997|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:17:40:773|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:33:46:274|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:16:0:849|Step_LSC|30002312|onStandStepChanged 3626,0
20171223-22:15:59:849|Step_LSC|30002312|onStandStepChanged 3626,0
20171223-22:33:9:926|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:31:59:723|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:19:8:849|Step_LSC|30002312|onStandStepChanged 3696,0
20171223-22:19:8:357|Step_LSC|30002312|onStandStepChanged 3694,0
20171223-22:19:7:854|Step_LSC|30002312|onStandStepChanged 3689,0
20171223-22:19:10:848|Step_LSC|30002312|onStandStepChanged 3704,0
20171223-22:19:10:348|Step_LSC|30002312|onStandStepChanged 3702,0
20171223-23:14:42:607|Step_LSC|30002312|onStandStepChanged 3763,0
20171223-23:7:7:71|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:15:34:848|Step_LSC|30002312|onStandStepChanged 3589,0
20171224-0:25:16:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:15:34:711|Step_LSC|30002312|onStandStepChanged 3588,0
20171223-22:15:33:341|Step_LSC|30002312|onStandStepChanged 3587,0
20171223-23:8:19:101|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-23:14:24:380|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:15:30:331|Step_LSC|30002312|onStandStepChanged 3581,0
20171223-22:15:29:792|Step_LSC|30002312|onStandStepChanged 3580,0
20171223-23:14:25:106|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-23:54:35:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:57:143|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:55:56:24|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-23:14:44:610|Step_LSC|30002312|onStandStepChanged 3770,0
20171224-0:15:52:983|Step_LSC|30002312|onStandStepChanged 3786,0
20171224-0:11:57:141|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:15:35:848|Step_LSC|30002312|onStandStepChanged 3591,0
20171223-22:15:35:348|Step_LSC|30002312|onStandStepChanged 3590,0
20171223-22:15:35:198|Step_LSC|30002312|onStandStepChanged 3589,0
20171223-22:15:35:98|Step_LSC|30002312|onStandStepChanged 3589,0
20171223-23:54:34:138|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:54:29:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:19:14:349|Step_LSC|30002312|onStandStepChanged 3726,0
20171223-23:54:56:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:18:2:349|Step_LSC|30002312|onStandStepChanged 3685,0
20171223-22:18:1:349|Step_LSC|30002312|onStandStepChanged 3684,0
20171223-23:56:12:138|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:55:25:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:17:56:349|Step_LSC|30002312|onStandStepChanged 3678,0
20171223-23:53:42:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:40:143|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:54:28:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:15:38:349|Step_LSC|30002312|onStandStepChanged 3595,0
20171223-22:15:37:848|Step_LSC|30002312|onStandStepChanged 3594,0
20171223-22:15:37:351|Step_LSC|30002312|onStandStepChanged 3593,0
20171223-22:15:36:356|Step_LSC|30002312|onStandStepChanged 3592,0
20171223-23:7:6:75|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:17:57:349|Step_LSC|30002312|onStandStepChanged 3679,0
20171223-23:56:13:144|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:19:57:758|Step_LSC|30002312|onStandStepChanged 3732,0
20171223-22:19:57:751|Step_LSC|30002312|onStandStepChanged 3732,0
20171223-22:19:15:855|Step_LSC|30002312|onStandStepChanged 3726,0
20171223-23:53:25:139|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:17:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:51:138|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:15:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:53:12:818|Step_LSC|30002312|onStandStepChanged 3761,0
20171224-0:11:56:143|Step_LSC|30002312|onStandStepChanged 3786,0
20171224-0:10:43:138|Step_LSC|30002312|onStandStepChanged 3786,0
20171224-0:10:42:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:15:38:850|Step_LSC|30002312|onStandStepChanged 3596,0
20171223-23:14:44:108|Step_LSC|30002312|onStandStepChanged 3768,0
20171223-23:14:43:611|Step_LSC|30002312|onStandStepChanged 3765,0
20171223-22:55:55:834|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:55:55:735|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:19:58:363|Step_LSC|30002312|onStandStepChanged 3735,0
20171223-22:19:57:878|Step_LSC|30002312|onStandStepChanged 3732,0
20171223-22:19:57:780|Step_LSC|30002312|onStandStepChanged 3732,0
20171223-23:53:0:141|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:53:31:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:17:52:848|Step_LSC|30002312|onStandStepChanged 3674,0
20171223-22:17:51:848|Step_LSC|30002312|onStandStepChanged 3673,0
20171223-22:17:51:362|Step_LSC|30002312|onStandStepChanged 3671,0
20171223-23:46:14:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:46:7:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:53:6:996|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:15:40:349|Step_LSC|30002312|onStandStepChanged 3598,0
20171223-22:15:39:348|Step_LSC|30002312|onStandStepChanged 3597,0
20171223-22:55:55:699|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:54:55:20|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:53:13:15|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:17:55:348|Step_LSC|30002312|onStandStepChanged 3677,0
20171223-22:17:54:849|Step_LSC|30002312|onStandStepChanged 3676,0
20171223-22:17:53:849|Step_LSC|30002312|onStandStepChanged 3675,0
20171223-22:19:59:365|Step_LSC|30002312|onStandStepChanged 3739,0
20171223-22:53:1:315|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:15:42:848|Step_LSC|30002312|onStandStepChanged 3602,0
20171223-22:15:41:848|Step_LSC|30002312|onStandStepChanged 3601,0
20171223-22:15:41:353|Step_LSC|30002312|onStandStepChanged 3600,0
20171223-22:15:40:848|Step_LSC|30002312|onStandStepChanged 3599,0
20171223-22:53:12:720|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-22:53:12:698|Step_LSC|30002312|onStandStepChanged 3761,0
20171223-23:52:57:138|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:50:48:406|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:56:35:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:56:28:137|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:17:50:849|Step_LSC|30002312|onStandStepChanged 3669,0
20171223-23:42:38:906|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:40:14:139|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:40:10:144|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-23:37:14:139|Step_LSC|30002312|onStandStepChanged 3786,0
20171223-22:20:0:863|Step_LSC|30002312|onStandStepChanged 3746,0
